item_kind,id,title,slug,url,post_type,status,published_at,modified_at,mime_type,parent_id,content_length,quality_flags,migration_recommendation
"media","1024","cropped-gb1b11d90ee9e69086fcadc1ccfab79127bde9416e8b062f8e16c4cdd9dd3c3e0b69be44e3a1a0726755bd4f32a06822c8358a0f0fd3beaf73e757c257c226ea3_1280-7533897.jpg","cropped-gb1b11d90ee9e69086fcadc1ccfab79127bde9416e8b062f8e16c4cdd9dd3c3e0b69be44e3a1a0726755bd4f32a06822c8358a0f0fd3beaf73e757c257c226ea3_1280-7533897-jpg","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/cropped-gb1b11d90ee9e69086fcadc1ccfab79127bde9416e8b062f8e16c4cdd9dd3c3e0b69be44e3a1a0726755bd4f32a06822c8358a0f0fd3beaf73e757c257c226ea3_1280-7533897.jpg","attachment","inherit","2024-08-16 13:53:55","2024-08-16 13:53:55","image/jpeg","1023","214","","exclude_derived"
"media","1025","Law concept, owl in a judge gavel concept","law-concept-owl-in-a-judge-gavel-concept","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/aa11.jpg","attachment","inherit","2024-08-16 13:56:39","2024-08-16 13:56:39","image/jpeg","0","0","","media_review"
"media","1026","Law concept, owl in a judge gavel concept","law-concept-owl-in-a-judge-gavel-concept-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/cropped-aa11.jpg","attachment","inherit","2024-08-16 13:56:54","2024-08-16 13:56:54","image/jpeg","1025","76","","media_review"
"media","1027","Lady Justice Statue","lady-justice-statue","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/bb11.jpg","attachment","inherit","2024-08-16 13:57:52","2024-08-16 13:57:52","image/jpeg","0","0","","media_review"
"media","1028","Lady Justice Statue","lady-justice-statue-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/cropped-bb11.jpg","attachment","inherit","2024-08-16 13:58:03","2024-08-16 13:58:03","image/jpeg","1027","76","","media_review"
"media","1029","as","as","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/as.jpg","attachment","inherit","2024-08-16 13:59:12","2024-08-16 13:59:12","image/jpeg","0","0","","media_review"
"media","1030","cropped-as.jpg","cropped-as-jpg","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/cropped-as.jpg","attachment","inherit","2024-08-16 13:59:24","2024-08-16 13:59:24","image/jpeg","1029","74","","exclude_derived"
"media","1031","stock-photo-judges-gavel-and-law-books","stock-photo-judges-gavel-and-law-books","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/stock-photo-judges-gavel-and-law-books.jpg","attachment","inherit","2024-08-16 13:59:47","2024-08-16 13:59:47","image/jpeg","0","0","","media_review"
"media","1032","cropped-stock-photo-judges-gavel-and-law-books.jpg","cropped-stock-photo-judges-gavel-and-law-books-jpg","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/cropped-stock-photo-judges-gavel-and-law-books.jpg","attachment","inherit","2024-08-16 14:00:00","2024-08-16 14:00:00","image/jpeg","1031","110","","exclude_derived"
"page","1037","Blog","blog","https://avukatgulcinkahraman.com/blog/","page","publish","2024-08-16 14:10:50","2024-08-16 21:05:42","","0","0","","301_to_makaleler"
"media","1062","about.jpg","about-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/about.jpg","attachment","inherit","2024-08-16 14:17:58","2024-08-16 14:17:58","image/jpeg","0","0","","exclude_demo"
"media","1063","1-1.jpg","1-1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/1-1.jpg","attachment","inherit","2024-08-16 14:17:59","2024-08-16 14:17:59","image/jpeg","0","0","","exclude_demo"
"media","1064","2.jpg","2-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/2.jpg","attachment","inherit","2024-08-16 14:18:00","2024-08-16 14:18:00","image/jpeg","0","0","","exclude_demo"
"media","1065","3-1.jpg","3-1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/3-1.jpg","attachment","inherit","2024-08-16 14:18:01","2024-08-16 14:18:01","image/jpeg","0","0","","exclude_demo"
"media","1066","4-1.jpg","4-1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/4-1.jpg","attachment","inherit","2024-08-16 14:18:02","2024-08-16 14:18:02","image/jpeg","0","0","","exclude_demo"
"media","1067","6-1.jpg","6-1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/6-1.jpg","attachment","inherit","2024-08-16 14:18:05","2024-08-16 14:18:05","image/jpeg","0","0","","exclude_demo"
"media","1068","11.jpg","11-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/11.jpg","attachment","inherit","2024-08-16 14:18:08","2024-08-16 14:18:08","image/jpeg","0","0","","exclude_demo"
"media","1069","8.jpg","8-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/8.jpg","attachment","inherit","2024-08-16 14:18:09","2024-08-16 14:18:09","image/jpeg","0","0","","exclude_demo"
"media","1070","9.jpg","9-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/9.jpg","attachment","inherit","2024-08-16 14:18:10","2024-08-16 14:18:10","image/jpeg","0","0","","exclude_demo"
"media","1071","woman5.jpg","woman5-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/woman5.jpg","attachment","inherit","2024-08-16 14:18:11","2024-08-16 14:18:11","image/jpeg","0","0","","exclude_demo"
"media","1072","woman1.jpg","woman1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/woman1.jpg","attachment","inherit","2024-08-16 14:18:11","2024-08-16 14:18:11","image/jpeg","0","0","","exclude_demo"
"media","1073","man4.jpg","man4-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/man4.jpg","attachment","inherit","2024-08-16 14:18:12","2024-08-16 14:18:12","image/jpeg","0","0","","exclude_demo"
"media","1074","logoipsum-logo-8.png","logoipsum-logo-8-png","https://static-assets.kubiobuilder.com/themes/kubio/assets/logoipsum-logo-8.png","attachment","inherit","2024-08-16 14:18:12","2024-08-16 14:18:12","image/png","0","0","","exclude_demo"
"media","1075","logoipsum-logo-2.png","logoipsum-logo-2-png","https://static-assets.kubiobuilder.com/themes/kubio/assets/logoipsum-logo-2.png","attachment","inherit","2024-08-16 14:18:12","2024-08-16 14:18:12","image/png","0","0","","exclude_demo"
"media","1076","logoipsum-logo-5.png","logoipsum-logo-5-png","https://static-assets.kubiobuilder.com/themes/kubio/assets/logoipsum-logo-5.png","attachment","inherit","2024-08-16 14:18:12","2024-08-16 14:18:12","image/png","0","0","","exclude_demo"
"media","1077","logoipsum-logo-25.png","logoipsum-logo-25-png","https://static-assets.kubiobuilder.com/themes/kubio/assets/logoipsum-logo-25.png","attachment","inherit","2024-08-16 14:18:12","2024-08-16 14:18:12","image/png","0","0","","exclude_demo"
"media","1078","woman3.jpg","woman3-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/woman3.jpg","attachment","inherit","2024-08-16 14:18:13","2024-08-16 14:18:13","image/jpeg","0","0","","exclude_demo"
"media","1079","man3.jpg","man3-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/man3.jpg","attachment","inherit","2024-08-16 14:18:13","2024-08-16 14:18:13","image/jpeg","0","0","","exclude_demo"
"media","1080","man1.jpg","man1-jpg","https://static-assets.kubiobuilder.com/themes/kubio/assets/man1.jpg","attachment","inherit","2024-08-16 14:18:14","2024-08-16 14:18:14","image/jpeg","0","0","","exclude_demo"
"media","1085","Gülçin Kahraman Gedik-Photoroom","gulcin-kahraman-gedik-photoroom","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/Gulcin-Kahraman-Gedik-Photoroom.png","attachment","inherit","2024-08-16 14:33:32","2024-08-16 14:33:32","image/png","0","0","","candidate_portrait"
"media","1087","Gülçin Kahraman Gedik-Photoroom","gulcin-kahraman-gedik-photoroom-2","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/Gulcin-Kahraman-Gedik-Photoroom-1.png","attachment","inherit","2024-08-16 14:35:32","2024-08-16 14:35:32","image/png","0","0","","candidate_portrait"
"media","1107","Lady Justice Statue","lady-justice-statue-3","https://avukatgulcinkahraman.com/wp-content/uploads/2024/08/bb11-1.jpg","attachment","inherit","2024-08-16 17:01:54","2024-08-16 17:01:54","image/jpeg","0","0","","media_review"
